Passport ID,Sample ID,Class,Country,Gender,Age Group,Angle,Distance Category,Resolution,Camera,Light Condition,Background,Timestamp
P_CAN_HK888152,P_CAN_HK888152_L1_B1_A1_D1,attack,CAN,F,18-126,0°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B1_A1_D2,attack,CAN,F,18-127,0°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B1_A2_D1,attack,CAN,F,18-128,20°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B1_A2_D2,attack,CAN,F,18-129,20°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B1_A3_D1,attack,CAN,F,18-130,45°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:59:00+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B1_A3_D2,attack,CAN,F,18-131,45°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B2_A1_D1,attack,CAN,F,18-132,0°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B2_A1_D2,attack,CAN,F,18-133,0°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B2_A2_D1,attack,CAN,F,18-134,20°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:59+00:00Z
P_CAN_HK888152,P_CAN_HK888152_L1_B2_A2_D2,attack,CAN,F,18-135,20°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:59+00:00Z
